Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
2.629629,5.292592,5.144444,3.940741,4.259259,6.925925,1.344445,5.788889,2.355555,1.455556,8.577778,8.522223,10.67037,4.092593,8.407408,7.633332,9.588887,12.7963,12.61111,15.55926,9.133333,8.507408,1.288889,7.725925,7.851852,8.662962,4.418519,-3.085185,6.22963,12.48889,14.79259,13.77778,4.466667,-7.659259,-2.874074,6.15926,1.851852,9.744444,7.166667,4.685184,5.411111,1.114815,-2.237037,3.944444,3.87037,8.888888,3.844445,7.233333,10.12963,8.714815,8.022223,3.777777,2.255555,10.11481,11.42593,12.58889,15.35556,12.19259,12.68148,6.262963,0.1555555,5.837036,14.21111,3.925926,1,82,9,0
20.08889,17.96296,17.94074,11.37407,12.3,21.64444,19.55186,4.211111,1.714814,5.6,9.58889,6.500002,7.640741,3.007407,5.54074,2.381481,1.474074,3.9,4.703704,-0.9444444,4.233334,-1.651852,-1.388889,1.607407,-4.070371,1.111111,-0.962963,-0.7851852,-2.003704,1.7,6.366666,9.107408,23.45926,14.12963,8.27037,12.71852,20.33704,17.83333,11.47778,6.418518,3.900001,-2.825927,4.362963,1.196296,5.833332,5.785185,5.12963,5.266666,9.514814,0.6185183,-2.148148,-3.525926,-0.2666666,1.885186,-1.081481,1.64074,2.977777,1.07037,4.292593,4.407407,-2.848148,3.618519,1.988889,2.440741,2,81,9,0
19.32593,7.933332,17.51481,22.48889,20.5037,9.68889,12.57037,17.91481,15.11482,23.98519,28.24815,22.88889,18.62963,16.37778,11.46667,8.485186,14.31481,21.25555,26.43704,23.44074,22.87037,15.63333,12.15556,4.151852,16.37778,21.52222,16.3037,11.74074,19.3037,26.42593,28.41482,34.65185,9.359261,13.44444,16.62222,12.06667,21.48518,23.74815,20.38518,17.05556,12.91111,9.644444,11.61852,14.34074,22.15185,25.40741,27.30741,28.08148,23.22223,22.55926,15.97778,10.59259,14.6963,18.87037,23.26667,26.21852,28.25186,27.30741,22.95185,20.10741,7.4,20.12593,21.44444,22.5963,3,84,9,0
8.096296,8.722221,15.30741,16.05185,16.21482,-2.618518,5.207407,5.492593,7.733334,13.81852,14.79259,16.85926,8.774075,10.59259,8.137037,8.862963,10.66296,8.85926,10.15185,7.114814,11.53333,11.99259,10.18889,4.192593,4.744445,8.662962,-3.392592,2.02963,7.325926,12.41852,6.477777,11.05556,11.2,5.888888,13.34074,13.4,17.74445,12.55185,15.24074,15.81481,10.41481,11.00741,11.25555,8.577778,17.24815,15.7,14.79259,10.97778,7.314816,14.85556,11.84815,10.09259,5.148148,9.403704,13.92593,12.30741,10.43334,9.81111,11.24444,12.43333,6.433332,13.16667,11.76667,6.937037,4,83,9,0
-6.918518,-0.8555555,-3.240741,-5.918519,-5.648147,-15.05926,-16.42222,-7.922222,-5.833333,-5.292593,-10.31111,-2.281482,-7.103704,-4.014814,-8.407408,-2.455556,-5.307408,-5.733334,-10.12963,-8.337037,-3.855556,-2.951851,-1.833333,-5.833334,-3.118519,-3.437037,-3.311111,-3.325926,-31.89259,-2.477778,-7.022223,-9.292592,-3.648148,-10.8037,-5.618518,-9.922222,-13.83704,-9.374074,-7.562963,-7.02963,-11.25556,-4.281481,-5.77037,-9.388888,-8.222222,-7.377777,-10.46296,-12.06667,-10.86667,-9.174074,-11.2037,-6.422223,-13.28148,-8.414815,-7.511112,-6.72963,-5.037036,-7.87037,-6.611113,-4.533334,0.9185185,-11.57037,-5.137036,-7.455555,5,87,9,0
13.9037,9.422222,21.46667,20.91111,21.34444,13.4037,-0.02222226,11.96297,11.54445,16.48518,18.87407,20.53704,19.33704,13.57407,9.003704,13.82593,16.61481,22.00741,20.32222,19.84444,17.91111,16.14444,15.25185,11.49259,21.64075,21.98518,14.40741,8.499999,18.56296,19.44074,14.83704,14.20741,12.82593,17.25185,18.91481,16.04445,16.74074,16.7963,16.5963,13.77037,17.00741,14.35556,20.83333,22.41111,16.79259,20.64445,22.35555,18.22963,17.71852,20.67407,21.32593,19.1,14.96296,22.31482,21.40371,18.48519,19.57407,24.16296,22.59259,25.21111,17.01852,17.92222,24.88889,14.85926,6,90,9,0
0.3592593,2.481482,-2.888889,-6.318519,-1.937036,16.8963,-0.7185184,-2.892593,-5.625926,-2.477778,-1.470371,0.9111112,-0.02592595,-0.3185185,-4.840741,-1.574074,-3.525926,0.8925927,-6.796296,1.233333,-0.0962965,-0.3592593,1.162963,4.24074,12.6,0.7222221,2.374074,4.448148,7.103704,0.3407406,-3.155555,-6.103704,-4.188889,-15.8963,-4.125926,-2.781482,-2.862963,-7.059259,-2.955556,-2.118519,-1.044445,-9.885185,-10.24815,-4.211111,2.059259,-0.9666665,1.9,-1.622222,-1.592593,-1.566667,-0.6851853,0.4814814,1.718518,-4.155555,-1.307407,-1.785185,-2.811111,-2.007407,3.688888,8.588888,12.53333,0.2740741,0.2259259,0.9814816,7,89,9,0
4.97037,8.45926,-6.862963,-11.27037,-4.466667,-19.21111,17.98148,6.125925,0.08148137,-1.32963,-7.525926,2.477778,2.574074,1.37037,3.366667,4.114815,-0.7074073,-0.3629631,-5.759259,2.6,0.2444444,2.766667,8.91111,6.118518,2.918519,-0.3925927,4.3,-1.474074,8.503704,1.014815,-2.907408,-2.985185,-1.066667,3.303704,-11.14815,-6.114815,-4.848148,-8.862964,-11.12222,-6.162964,-11.62222,-11.41111,-11.53704,-8.15926,-6.648149,-7.725925,-1.218519,-0.2851854,1.818519,-6.111111,-6.159259,-4.322222,-1.425926,-3.688889,-6.796297,0.2740742,-1.748148,1.755556,-2.922222,2.966667,-0.662963,4,-1.492593,6.244445,8,88,9,0
4.559259,6.148148,7.592593,7.629629,9.196297,1.644444,8.300001,8.481483,6.214816,5.103704,4.170371,-0.6074073,1.996296,3.425926,4.92963,-0.5814815,18.20741,2.803704,5.170371,7.555555,3.585185,2.288889,-0.9222223,-2.851852,6.251852,-0.3851854,-2.844444,3.096296,9.681481,5.255555,7.622221,8.077778,9.496297,6.925925,7.840742,4.344445,8.170371,4.914814,4.329629,2.933333,3.644444,-0.1518518,11.44444,4.696296,5.896297,5.440741,5.125926,9.870369,6.266666,10.71852,6.766668,4.785185,6.844445,11.17407,9.996297,8.611111,9.018517,9.433333,7.062963,7.359259,4.844445,6.2,8.999999,9.748147,9,25,9,0
2.718518,5.588889,1.125926,5.774075,16.25555,1.211111,0.2925931,-1.907407,-5.085186,3.5,-0.6962963,-1.725926,-3.492593,2.066667,-6.385185,-2.896296,-0.4185185,-4.2,0.6333334,-5.222223,-3.248148,-1.803704,-10.06667,-5.611111,-0.3629628,-3.237037,2.003704,0.2222223,-4.133333,-7.407407,-6.048148,-3.32963,9.155555,11.15926,8.722221,4.17037,4.737037,4.714815,6.888889,5.033334,3.303704,0.8333336,1.903703,2.988889,0.5074072,2.111111,3.733334,0.1148147,-0.7333335,3.740741,2.492593,1.655556,-4.781482,2.681482,3.262963,-0.7703705,-4.425926,-3.648148,0.8703702,3.807408,2.592593,1.233333,0.5407408,-0.8111112,10,23,9,0
