Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
-33.04074,-39.63333,-38.43704,-27.74074,-18.4037,-29.65185,-29.74815,-17.9963,-13.11481,-28.45185,-31.01481,-29.67778,-23.70741,-23.65556,-14.74815,-16.53704,-14.93333,-17.73704,-33.04815,-33.02222,-19.22963,-8.992592,-12.95556,-6.22963,-13.68148,-20.86296,-13.06667,-9.596296,-13.22593,-19.14074,-34.49629,-39.56667,-38.05556,-30.12593,-34.06667,-30.15185,-33.89259,-36.95926,-32.89259,-17.92963,-26.14814,-23.23333,-19.77407,-27.34444,-26.45556,-35.8,-29.45926,-27.97778,-30.89259,-30.56296,-16.55185,-15.67037,-13.92963,-19.40741,-30.5037,-37.05555,-32.11111,-26.90741,-14.96667,-12.69259,-11.28518,-11.12222,-14.45185,-16.05926,1,79,29,0
7.637037,2.085185,-1.814815,-3.07037,5.766667,-2.033333,2.529629,-0.04814811,11.63704,-1.966667,0.7962964,3.648149,5.633334,-3.55926,-3.177778,-0.3333334,5.844445,5.5,-0.8851852,-2.133333,3.388889,4.285186,-2.17037,-3.885185,-1.125926,6.351852,3.248148,2.251852,8.888889,0.7555556,1.944445,-5.503704,6.925926,5.640741,6.344445,-2.096297,-4.740741,-12.24074,-7.192593,-0.2222222,2.244444,4.22963,-1.577778,-3.359259,0.1037037,-8.277778,-6.670371,3.981482,-1.42963,-5.825927,1.285185,0.5,4.114815,7.703704,0.4185186,-1.907407,-0.9037036,1.037037,8.551852,7.537037,7.981481,15.05926,2.455555,5.507407,2,80,29,0
-2.022222,5.318518,-5.807407,-19.47408,-18.9,-11.0963,2.996296,-16.94815,-21.27407,-20.95185,-26.22593,-34.44074,-33.21111,-18.72593,-14.92963,-16.37037,-23.72963,-35.23333,-33.78149,-33.15555,-32.53704,-28.30741,-23.86667,-24.3963,-14.51111,-29.94444,-16.4963,-14.65926,-23.83704,-31.39629,-35.28889,-33.94074,2.548148,-1.351852,-3.666667,-9.018517,-3.37037,-13.65555,-16.68889,-13.05926,-10.52593,-13.00741,-12.05185,-11.5,-24.35926,-24.68889,-27.5,-34.94815,-29.24815,-26.52592,-17.72963,-10.34074,-9.522223,-19.84074,-22.64815,-30.00741,-27.84074,-21.83703,-17.41111,-12.40741,-14.08889,-15.73333,-21.96296,-9.692593,3,74,29,0
-37.15556,-30.27037,-30.87407,-33.94815,-36.23333,-31.62963,-25.63704,-30.98148,-36.05926,-25.7,-30.28148,-31.07778,-32.1926,-21.27407,-17.6,-18.94074,-23.28889,-21.72222,-18.92593,-10.63333,-18.98148,-18.6963,-17.11852,-9.792592,-1.374074,-24.07407,-8.085185,-4.625926,-10.88889,-16.35926,-17.02963,-17.2037,-36.7,-34.32222,-37.72222,-35.72593,-33.64815,-27.66296,-28.10371,-34.26667,-33.22963,-25.98889,-27.31852,-20.92593,-23.52593,-23.37407,-30.3,-26.28888,-27.25185,-11.7,-17.17407,-21.05185,-2.077777,-10.4963,-9.433333,-13.29629,-8.485186,-1.740741,-3.740741,-4.885186,-10.26667,-5.181482,-8.144444,-9.414815,4,73,29,0
-5.781481,-3.081481,-5.659259,-6.477777,-8.648149,-8.196297,-5.788889,-9,-14.83333,-8.7,-8.274074,-10.46296,-14.52592,-8.825927,-11.99259,-10.5037,-9.355556,-16.08889,-9.674074,-6.222223,0.659259,-8.111111,0.1,-10.48519,2.562963,-2.514815,4.007407,-0.9814813,1.066666,-2.907408,-7.788889,-9.033333,-1.551852,-7.81111,-7.181482,-0.2518518,-5.585186,-4.285185,-1.325926,-0.6,0.9370372,-4.496296,1.8,-1.67037,-2.337037,-5.262963,-10.68889,-11.85185,-4.418519,0.04444461,-0.04814819,1.188889,7.570371,8.14074,1.977778,-4.633334,-0.4296294,5.233333,10.98148,8.803703,1.614815,2.259259,6.381482,9.062963,5,77,29,0
-4.729629,-0.6444447,-6.351852,1.281481,-5.429629,-4.018518,-2.3,-7.007406,0.1703705,3.477778,12.23704,3.344444,9.029631,6.288889,3.911111,1.511111,2.870371,2.577778,0.5333332,-7.174074,-0.9444443,-2.677778,1.125926,6.118518,7.451852,-10.2037,1.425926,0.7407408,-2.270371,-10.04815,-8.718518,-3.381482,-4.155556,-7.003703,-0.5999995,-0.8407411,-4.370371,1.466667,1.529629,0.9962964,2.455556,-0.3777778,5.066666,5.003704,1.985185,3.440741,1.4,-1.292593,2.822222,5.77037,-4.296297,6.981482,3.622222,9.822223,5.074075,-0.8074074,-4.348148,3.248148,3.633333,-2.581481,-6.088889,1.837037,-2.848149,-0.4407409,6,76,29,0
12.98148,17.67778,11.47407,7.555555,6.266667,6.714814,13.51481,-7.488889,3.237037,2.181482,-0.962963,-1.296296,3.496296,1.714815,1.333333,-3.440741,-2.811111,-5.255555,-1.992592,-10.02222,-3.592592,-6.440741,-7.822222,-12.18148,-2.459259,-6.025926,-6.299999,-15.38148,-13.3963,-13.0963,-8.581482,-6.259259,14.26667,8.451851,12.47778,13.54074,12.75926,9.022223,6.188889,1.840741,2.307407,-0.3666666,4.470371,2.888889,4.17037,4.214815,3.514815,-0.8,4.792592,-0.4814815,2.285185,3.074074,-10.73704,-0.3148148,2.218519,-4.225926,-9.303703,-6.966666,-7.251853,-14.42222,-14.47778,-17.28889,-9.45926,-9.670372,7,78,29,0
-0.3814816,3.174074,-0.09259281,-9.962964,-9.237037,-4.296296,1.02963,-14.13704,-15.41111,-7.674074,-12.47037,-13.53333,-13.38148,-4.177778,-2.237037,-4.244444,-9.296296,-13.91111,-11.26667,-10.46666,-7.844445,-2.985185,-7.951851,6.344445,-0.5851851,-7.348148,-0.08888889,-4.911111,-10.86666,-12.09259,-18.75555,-11.5963,-3.766667,-3.07037,-10.1963,-3.133333,-0.05185176,0.1296299,-2.118518,-8.174074,-7.733334,-8.418519,-12.13704,-6.211111,-8.918519,-6.866666,-7.166667,-16.05185,-16.00741,-10.39259,-9.759258,-7.781481,-3.433333,-10.05185,-10.2,-11.14444,-9.348148,-6.711111,-8.185185,-4.196297,-6.374074,-5.429629,-7.862963,-7.440741,8,72,29,0
-5.007408,2.385185,-8.737038,-3.344444,-8.081481,-0.2629628,6.525927,-4.659259,-4.633334,2.922223,-12.22593,0.5518518,-0.2851852,8.670371,6.344445,13.92593,1.266667,4.896296,4.314815,4.959259,3.35926,9.011112,6.981482,11.11111,11.41111,1.855555,0.8185182,-3.818518,3.962963,1.729629,2.525926,-0.9888889,-4.829629,-2.7,4.622222,-5.325925,-8.71111,-7.744444,-5.170371,-3.685185,-10.2,-6.603704,-0.9222224,-2.155556,-4.348148,-6.903703,-10.89629,-10.2,-0.3481481,3.051852,5.755555,4.107408,8.737037,11.71852,7.540741,1.637037,5.829629,10.75185,14.99259,11.99259,6.322223,0.6407409,7.333333,6.414815,9,8,29,0
-116.7852,-118.1037,-124.1667,-109.9667,-116.2926,-107.1296,-119.2556,-62.70741,-113.263,-115.3148,-109.2815,-104.1185,-108.8852,-106.8667,-93.63334,-74.54816,-82.21111,-90.28888,-107.3074,-106.4296,-95.75926,-73.59629,-90.65556,-100.6741,-73.72592,-98.51852,-97.05556,-68.68889,-95.37778,-106.0407,-104.9259,-105.4481,-121.4333,-102.5296,2.396296,-111.2259,-119.0037,-110.0222,-110.7778,-100.9519,-100.0481,-90.02963,-110.7481,-102.663,-98.12963,-102.4926,-103.7815,-106.6926,-97.34074,-95.37035,-96.68519,-91.00741,-84.83704,-86.52222,-97.2963,-96.75185,-96.2963,-94.9074,-91.59629,-87.78889,-98.39999,-87.95556,-94.88517,-90.95186,10,7,29,1
