Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
14.75555,11.21852,12.18889,13.17408,12.52222,12.61111,10.93704,10.5963,14.7037,12.21111,19.65185,11.74074,11.85556,21.35555,10.24074,11.88519,17.14074,14.08519,14.05926,11.86296,15.28889,18.79259,14.34444,15.12592,18.15926,20.68148,14.33333,11.64074,14.59259,16.74445,10.24815,13.25926,11.86667,11.15185,19.17778,16.66667,13.18148,14.22593,11.37407,16.29259,16.4963,13.33704,13.87778,21.05556,19.15556,16.76296,10.66296,11.57778,13.16667,14.43333,21.5963,15.84444,15.71852,15.6963,13.96667,12.2963,12.42222,14.54444,14.45556,15.4963,14.72963,15.7,15.41482,13.88148,1,20,8,0
-3.844444,-10.73704,-12.47407,-12.51852,-13.59259,-12.32222,-11.92222,-11.24815,-13.41481,-11.93333,-14.05926,-10.77407,-9.914814,-0.1333334,-9.514813,-6.966666,-4.448148,-7.885185,-7.4,0.437037,-10.58148,-2.992593,-6.948148,-4.796296,-10.91852,-6.62963,3.555556,-3.740741,-1.581482,-1.203704,-7.070371,-7.044445,-9.622222,-6.422223,-7.822222,-5.58889,-7.544446,-19.35556,-14.87778,-10.45185,-9,-6.888888,-5.5,-6.862963,0.948148,-6.64074,-14.31111,-13.2963,-9.214815,-6.52963,-1.377778,-5.503704,-3.885185,-6.311111,-6.414815,-8.274074,-7.711112,-6.466667,-4.196296,-3.059259,-0.5851851,-3.222222,-5.755555,-5.451852,2,16,8,0
6.27037,-3.696296,-3.04074,2.366667,-1.037037,-1.12963,-3.555556,-1.748148,0.4925926,1.507407,11.12963,3.240741,1.4,4.92963,-2.337037,-0.5740739,1.32963,2.740741,8.833333,7.944445,3.022223,0.9740735,0.1814814,-0.4296296,1.422222,1.05926,5.077777,-1.318519,2.492593,4.811111,3.566667,4.311112,4.833333,8.266667,-4.351852,2.103704,4.192593,4.366666,-2.248148,-0.9555555,-1.707407,-3.540741,-2.5,2.718518,4.37037,4.629629,1.214815,2.537037,1.851852,2.103703,0.5370371,-0.9592593,0.7740743,0.185185,0.9925928,2.070371,1.781481,0.1666662,0.2074076,1.237037,0.5296298,0.7185181,1.959259,0.4518511,3,17,8,0
19.06296,10.65926,10.61852,9.948149,10.23704,10.8,9.425925,9.518518,11.61852,10.44074,6.762964,10.26296,12.12593,13.50741,11.87407,11.37778,10.64074,12.26667,11.91481,11.01852,10.64815,8.340742,12.25926,10.62963,8.311111,8.359259,3.777778,5.348148,8.496297,15.61852,14.52963,11.8037,26.18148,20.37407,17.25185,22.59259,12.65926,4.192593,8.496296,10.60741,15.13704,13.74074,13.04074,12.88889,17.2037,7.996296,7.2,8.800001,10.5963,12.33704,12.31852,13.12963,14.15926,12.74074,13.71852,11.70741,12.52593,12.87407,12.72222,12.58889,8.877777,10.29259,11.05185,7.162963,4,18,8,0
-4.825927,-4.440741,-9.003703,-12.77407,-9.974074,-5.666667,-1.67037,-2.285185,-4.859259,-10.54815,-11.1963,-16.15185,-11.61852,-12.18148,-4.318519,-8.092591,-9.85926,-11.35185,-15.71852,-21.94815,-14.35926,-13.3963,-14.08889,-13.48889,-16.9037,-21.85926,-19.83704,-14.18148,-17.91482,-18.48148,-20.98148,-14.54074,3.474074,-4.325926,-3.062963,-9.803704,-5.929629,-7.718518,-14.08519,-9.803703,-6.588889,-4.848148,-3.57037,-4.27037,-10.96296,-16.33333,-17.21852,-18.53704,-15.76667,-10.62593,-9.681481,-3.696296,-8.533333,-10.10741,-13.81481,-17.81482,-18.76667,-14.75185,-12.87037,-12.97778,-12.63704,-16.71111,-19.17037,-15.74074,5,2,8,0
-5.018518,0.9555556,1.448148,3.003704,1.818519,1.362963,3.162963,4.933334,0.2296297,0.888889,-0.5888889,0.6629629,-0.2777777,-7.203703,2.637037,0.3222225,-2.696296,-1.970371,-3.57037,-7.914814,-3.559259,-0.6777779,-1.974074,-1.018518,-3.048148,-12.54444,-10.1,-3.537037,-5.803704,-6.085186,-5.288889,-3.251852,2.059259,-10.02593,-5.748147,-5.855555,-1.918519,3.174074,0.8370368,0.3444444,-3.559259,0.759259,1.377778,-2.866667,-6.851852,-1.755556,3.855556,0.05555541,-0.6888888,-3.577778,-5.437037,1.662963,-1.159259,-1.085185,-5.037037,-3.833333,-5.344445,-5.137037,-3.640741,-2.425926,-1.2,-3.888889,-5.625926,-3.355556,6,9,8,0
-11.12593,-5.433334,-11.25185,-17.61111,-13.37778,-10.81481,-6.792593,-8.474073,-13.00741,-14.45926,-22.44815,-17.14445,-16.2963,-23.51852,-8.411111,-9.762963,-13.31852,-16.5963,-18.48889,-17.93704,-15.54815,-16.09259,-10.1037,-6.851852,-12.96296,-15.15926,-9.748149,-6.296296,-13.26667,-20.91852,-15.01482,-18.09259,-11.1037,-4.288889,-6.5,-11.94074,-15.0963,-18.19259,-13.45556,-7.337037,-4.862963,-0.3925927,-1.940741,-5.577778,-15.23704,-16.46667,-14.76667,-13.15556,-11.59259,-9.248148,-6.3,-2.577777,-4.603703,-7.237037,-8.8,-11.97037,-12.26296,-9.692592,-8.462963,-6.9,-4.459259,-9.074075,-13.44074,-11.04074,7,3,8,0
-1.059259,0.462963,-1.122222,-3.944444,-1.77037,0.3,2.207407,2.340741,1.574074,-1.548148,1.344444,-3.903704,-2.674074,-7.111111,-0.1703703,-2.662963,-6.151852,-4.566667,-3.140741,-6.696296,-4.018518,-11.52222,-7.548148,-7.388889,-11.0037,-10.30741,-9.603703,-7.103703,-12.3,-6.714815,-4.948148,-3.996296,-5.651852,-11.14815,3.033334,-7.95926,-6.159259,1.551852,-1.803704,1.82963,4.125926,3.600001,6.18889,5.496295,-3.037037,-0.3629631,-3.448148,-2.925926,-2.051852,2.751852,3.703703,5.518518,4.814816,3.162963,0.7370371,-2.462963,-3.87037,-1.07037,-0.662963,-0.6185186,-0.2407408,-4.377778,-3.674074,-7.214815,8,1,8,0
-6.196296,-6.025926,0.377778,1.933333,2.418518,-1.877778,-2.881481,-1.859259,-1.403704,3.637037,-1.707407,4.181482,5.451852,-0.5555557,1.059259,2.4,0.8703702,2.751852,0.3000003,7.3,3.425926,3.648149,4.27037,3.240741,0.02962949,5.422223,4.314815,6.222222,5.929631,5.7,5.870369,0.02222221,-10.15556,-5.648148,1.25926,-1.281482,-4.696296,-1.662963,2.948148,-0.9037037,3.400001,0.9814813,0.6296297,-1.592593,-2.233333,-1.003704,4.5,4.611111,4.674074,2.459259,3.637037,0.3222222,3.540741,2.981481,4.955555,5.192593,6.537037,5.648149,5.481482,4.822223,5.081481,7.255555,5.292593,4.962963,9,82,8,0
-0.5962963,2.940741,13.89259,24.95555,19.04444,14.74444,9.522222,12.84444,18.05556,21.71111,34.78889,24.88889,22.02963,24.08889,17.33333,15.35185,19.57407,21.42593,26.71482,19.52963,18.41481,17.65185,13.65185,9.507407,13.59259,14.4037,11.16667,6.725926,9.6,8.144444,15.01852,25.34074,-0.9407409,9.585186,16.14444,21.26296,24.41852,31.08518,25.92593,28.88148,24.15926,10.72593,14.79629,24.75926,25.21112,29.54444,26.36667,24.46667,23.41111,22.67037,24.57407,17.44815,17.15185,18,18.24445,19.72593,16.85556,16.12593,15.24074,12.87407,10.06296,11.95556,12.80741,10.28519,10,88,8,0
