Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
-14.7037,-9.12963,-1.285185,-8.107409,-1.500001,-7.607408,-10.84815,-7.02963,-6.648148,-6.151852,-6.974074,-5.196296,-8.625926,-9.32963,-5.955555,-1.525926,-0.08518484,-2.151852,-2.737037,-4.274074,-3.985185,1.211111,-0.5481481,2.562963,-1.292592,-1.67037,-4,-3.788888,-4.851852,-6.137037,-4.774074,-5.207407,-10.62963,-10.93704,-6.303704,-10.01111,-10.6,-10.7037,-11.87778,-5.807407,-11.15185,-3.651852,-1.111111,-2.451852,-1.740741,-6.27037,-13.98889,-2.277777,-2.833333,-2.948149,0.9555558,1.662963,5.577778,-2.407408,0.8518516,-11.82963,-3.170371,0.1259263,1.385185,0.4777778,-0.8518519,-1.318519,-0.4703702,-1.974074,1,74,37,0
-10.41852,-11.21482,-16.76666,-14.14815,-15.35185,-5.929629,-9.374074,-5.125926,-7.003704,-9.28889,-16.5963,-13.19259,-7.659259,-6.274074,-6.837037,-3.685185,-5.125926,-8.422222,-11.7037,-9.992593,-7.762962,-5.055555,-2.6,-2.155556,-6.962963,-8.403703,-10.28889,-12.66667,-11.09259,6.066666,-12.07407,-13.24815,-14.16296,-17.40741,-6.925926,-18.56296,-14.95185,-14.11111,-13.38889,-11.51852,-11.64815,-6.707407,-0.4888889,-6.522222,-11.4963,-14.78519,-11.24074,-16.17407,-11.65926,-8.585185,-7.366668,3.344444,-4.137036,-2.811111,-9.907408,-9.01111,-8.114815,-6.622222,-3.814815,-1.907407,-0.2444444,-4.503704,-8.155556,-8.066667,2,79,37,0
-7.637037,-5.425926,-6.185184,-0.962963,-5.362963,-3.811111,-3.211111,-1.396296,-2.007407,-1.370371,-3.014814,-3.981482,-1.818519,-1.996296,-0.8740739,3.262963,-0.4814816,-3.596296,-6.65926,-7.948149,-3.748149,-2.633333,6.666667,3.029629,-0.6740741,-8.377778,-4.177778,-6.22963,-7.559259,-13.82963,-8.455556,-7.148149,-16.48518,-9.937037,-10.33333,-10.58889,-5.588889,-0.9666666,4.77037,-5.759259,-1.388889,0.8481482,1.496296,-3.825926,-1.103704,-1.040741,-1.633333,-6.544445,-2.985185,-1.574074,-2.229629,1.348148,5.996296,3.2,-1.796296,-2.992592,-9.177778,-5.637037,-5.855556,-4.148148,0.1407407,6.444444,-8.922222,-5.292593,3,77,37,0
9.662964,5.381482,7.544445,11.20741,7.259259,5.107408,4.892592,1.881482,2.422223,11.19259,11.96667,13.72593,10.7963,9.270371,4.366666,9.381481,16.54815,17.23333,16.96667,19.07778,21.19629,14.74444,9.907409,5.211112,12.74444,16.01852,7.825926,5.45926,8.68148,18.43704,18.56296,18.32593,8.855554,12.32963,5.985186,8.888889,6.351852,12.31481,17.62593,9.759259,11.33333,4.614815,4.051851,9.085185,9.240741,12.44815,15.0963,13.22593,12.38519,12.49259,7.411111,5.551851,9.037038,10.71852,14.28519,17.18148,18.85926,16.14074,13.37037,8.225926,4.52963,12.0037,13.84815,8.777778,4,76,37,0
4.325925,-2.370371,1.77037,0.2777776,-0.1629629,-1.599999,4.366667,0.7777778,-0.9555557,-2.718518,0.6555554,1.114815,1.592593,4.962964,-0.06666675,1.8,4.307407,3.674074,4.022222,4.24074,7.685184,9.655556,9.033333,7.448149,6.762963,5.562963,1.355556,-1.048148,-0.3,-3.937037,2.218518,1.092593,4.874074,5.111111,-2.814815,8.218518,2.781482,3.133333,2.540741,6.681482,3.292593,-9.392592,1.388889,-1.562963,0.8703704,3.681482,1.151852,-1.007408,-0.5481481,2.740741,0.4592591,-1.87037,-0.9703704,1.522222,1.381481,-7.829628,3.492593,4.433334,3.103703,2.611111,1.607407,6.514814,3.333334,0.7925926,5,75,37,0
-13.53333,-10.65926,-11.22222,-6.137037,-10.76296,-7.003704,-9.759259,-2.803704,-3.437037,-2.318519,-1.72963,-0.6333333,-0.9185185,-1.359259,0.2296296,2.18889,-0.3592592,3.566667,2.766667,7.985186,10.06296,7.818519,8.644444,5.311111,11,0.462963,3.603703,9.829629,5.32963,13.22963,6.092593,2.737037,-9.062964,-6.811111,-7.462963,-6.411111,-7.044446,-4.611111,-7.648148,-3.2,-7.7,-10.08889,-8.614814,2.466667,0.1518518,-1.9,-0.6296298,-0.9962964,2.803705,1.866667,2.096296,0.3037037,7.825925,6.207409,2.837037,3.125926,7.592593,7.777777,9.488888,7.07037,1.840741,3.381482,9.414815,7.040741,6,78,37,0
-20.19259,-18.8037,-12.65185,-3.477778,1.577778,-7.066668,-16.35556,-7.07037,-4.996295,0.6629629,-0.3037036,5.433334,0.5074075,1.896297,-4.5,2.211111,-2.492594,5.537036,11.3037,9.907408,8.048148,7.033332,3.903704,2.518519,5.303704,10.00741,-2.177778,-3.540741,1.288889,1.714815,8.351851,6.622222,-21.10741,-14.21852,-12.34074,-6.977778,-4.792593,1.522222,-3.374074,-2.059259,-6.125926,-1.87037,-1.22963,-0.5629631,1.144444,2.192593,4.385186,8.603703,8.55926,2.011111,3.603704,-2.67037,5.151852,4.118519,7.033333,7.196296,6.055556,6.5,4.788889,1.266667,9.033332,6.5,4.025926,2.033333,7,72,37,0
5.403704,4.32963,6.52963,9.6,8.451852,6.655556,2.166667,6.425926,7.966666,9.940741,9.633333,9.122222,7.814815,12.68148,8.825926,11.87778,3.481482,10.8,10.76296,12.43704,11.26667,10.25185,13.35926,9.088889,13.02593,12.81111,8.918519,2.737037,8.403705,6.314814,12.05926,9.8,-4.074073,-1.766666,-3.703703,-0.4370373,7.614815,9.718519,5.140741,5.470371,4.325926,-0.8000006,-2.222222,3.618518,4.751852,10.18889,10.82963,11.1963,11.45185,8.614815,6.037037,1.307407,0.7851852,1.988889,10.68519,10.1037,8.451852,7.462963,9.200001,2.944444,4.118519,2.411111,7.159259,6.633333,8,82,37,0
-11.26667,-14.60741,-6.648148,-4.87037,-6.585186,-7.414814,-9.851851,-6.585184,-5.477778,-4.703704,-5.85926,-3.4,-4.785185,-4.892593,-5.437037,-3.248148,-1,-1.122222,-5.848148,-7.825926,-3.818518,1.803704,-1.677778,-1.488889,-4.007407,-8.877778,-10.5,-4.303704,-9.200001,-10.08519,-10.98519,-9.303703,-12.68148,-5.574073,-7.096296,-10.41111,-7.440741,-2.748148,-4.692593,-3.744445,-8.903704,-8.618519,-0.9407406,-5.07037,-4.27037,-0.7444444,-2.751852,-6.785185,-7.262963,-5.481482,-2.27037,-0.4777778,-3.333333,-6.085186,-4.281481,-6.97037,-12.08889,-6.144445,-4.003704,-2.122222,15.57778,-1.044444,-9.481482,-2.381481,9,90,37,0
-9.888889,-7.355555,-3.348148,-4.177778,-1.274074,-2.788889,-1.781482,-6.596297,-6.207407,-5.281482,-7.314815,-5.885186,-5.8,-9.12963,-9.900001,-7.548147,-1.162963,-2.666667,-2.396297,1.603704,-5.162963,0.2185185,-4.311111,0.8518519,-0.5296296,4.107407,-1.581481,-6.92963,-2.466667,2.2,-0.2444446,-5.925925,-1.814815,-5.355556,-0.7999997,-5.751851,-5.140741,-2.766667,1.574074,-7.892591,-13.65185,-11.08148,-8.751851,-13.63704,-9.444446,-5.537037,-6.57037,-8.659261,-10.67037,-8.748148,-11.96296,-15.81111,-9.366668,-9.888889,-8.796295,-7.092593,-0.9333331,-4.396296,-9.007407,-9.696296,-1.277778,-6.151853,-2.825926,-7.066666,10,85,37,0
-8.444444,-6.588889,-3.166667,2.396297,-2.785185,2.492592,-1.488889,-0.6666667,-1.8,-1.555556,-1.374074,-1.974074,0.237037,-0.8259259,-0.9777778,-0.5925926,-4.792593,-1.107407,-1.437037,-3.740741,-2.625926,-0.4037036,-0.5259259,-1.918519,-0.6259258,-3.903704,-3.288889,-5.503704,-4.481481,-9.1,-5.351851,-5.022223,0.1666665,-3.133333,-3.781482,-2.381482,1.855556,3.255556,-0.3666666,-1.144444,-4.87037,-4.274074,-1.774074,-4.485185,-0.8222225,0.7407407,1.533334,-3.414815,-5.02963,-4.592593,-2.470371,-5.677778,-0.837037,-5.085186,-4.8,-4.718518,-1.777778,-2.655555,-4.859259,-7.925926,-3.244444,-6.448148,-6.192592,-7.737038,11,89,37,0
-12.34074,-11.8963,-15.44815,-12.48889,-10.20741,-11.44815,-14.33704,-12.40741,-13.57037,-10.2,-10.16296,-5.774073,-6.781481,-10.21481,-13.67778,-9.192593,-8.42963,-3.892592,-2.162963,3.059259,-0.7259253,-1.322222,-7.114814,-4.655556,1.459259,5.511111,2.077778,2.044445,5.207407,3.014815,1.722222,-3.981481,-13.08148,-12.29629,-5.018518,-8.14074,-9.303703,-9.425926,-10.02222,-6.092592,-8.403704,-6.311111,15.86667,-2.67037,-2.411111,-1.740741,-5.637037,-8.062963,-2.181482,-2.037037,-1.081481,-4.262963,0.6259259,-0.7592591,3.281482,0.3999997,4.507409,7.388889,9.881481,8.829628,9.607409,-2.018518,9.144444,9.118518,12,24,37,0
0.3037037,-1.788889,0.6259258,6.700001,3.111111,-1.662963,-8.240742,-0.6629634,2.411111,6.944445,9.111112,12.15185,8.255555,10.28889,3.188889,8.407406,11.53333,11.26296,15.32963,20.34444,18.69629,14.60371,17.64815,7.014815,19.69259,21.04074,15.86666,7.9,14.28889,18.57778,20.31852,17.05185,-3.785185,1.5,1.774074,3.925926,3.922222,7.296297,3.392593,7.096296,2.877778,-0.6777778,5.392593,8.41111,8.34074,10.14815,9.970369,14.85555,18.52963,12.72593,11.81482,4.648148,9.61111,15.71852,16.27408,19.21852,17.62593,18.08518,18.76296,10.82593,12.33333,17.88889,19.17778,9.792592,13,25,37,0
2.951852,-5.974073,-2.488889,-6.592593,-2.788888,-10.56667,-9.488888,-9.918519,-10.69259,-6.981482,-7.337037,-11,-11.32222,-5.248147,-6.044444,-4.492593,1.251852,-5.822222,-10.00741,-5.225926,0.07037053,0.8925925,6.981482,1.777778,4.403704,-9.707406,-4.337037,-5.348148,-5.285186,-0.2740741,-9.903703,-13.91852,-8.518517,-8.325926,-5.862964,-2.496296,-7.037037,-3.485186,-9.222222,-6.174074,-5.940741,-6.455555,-4.518518,-11.35556,-8.692594,-5.388889,-10.16296,-12.3963,-11.02963,-10.56667,-9.637037,-7.5,-6.451852,-6.6,-7.003704,-10.44445,-9.962962,-8.74074,-7.937037,-0.9518519,1.292593,-0.9740739,-7.496296,-5.496296,14,30,37,0
-0.1962965,-0.7370369,0.8333331,-1.62963,-2.592593,0.8407406,4.411111,-6.059259,-7.766667,-4.992591,-1.781482,-8.933333,-7.896297,-7.870371,-5.692592,-6.329629,-3.362963,-6.625926,-12.21111,-14.96296,-5.118518,-2.125926,-2.492592,-2.988889,-5.181481,-10.6963,-13.53333,-6.037037,-11.82222,-18.37037,-22.7963,-18.04074,6.822222,4.188889,-0.6629628,6.096296,4.196296,-1.655556,3.844445,2.025926,1.740741,-0.7259262,1.092593,-4.48148,-1.748147,-4.155555,-4.933334,-12.96296,-11.14815,-5.211111,-2.477777,-0.9407409,-1.592593,-1.511111,-11.02963,-12.79259,-19.78518,-11.91111,-4.118519,-1.355556,0.2740741,-2.759259,-14.97407,-9.107408,15,27,37,0
10.67778,7.02963,10.75926,8.874075,7.392592,11.82592,11.48148,10.55926,9.640741,7.066667,6.066667,2.055555,5.95926,7.229629,5.7,5.218518,-2.985185,1.459259,-0.4444444,-3.507407,-0.9592592,-0.2666667,-2.592592,3.177778,0.5814815,-3.825926,-0.6925927,0.3703703,-1.507408,12.32593,-6.607407,-1.359259,15.2,10.24074,12.88889,11.93704,14.23704,14.31852,17.70741,13.27408,14.37407,3.533333,7.137036,8.525927,11.37407,9.288888,8.548148,0.7370371,3.651852,9.007408,7.662963,10.46296,-0.9592593,4.437037,4.337037,0.3925928,-1.737037,-1.933334,-0.8555554,-6.266666,0.6555556,1.462963,-1.933334,-0.2074076,16,21,37,0
2.64074,9.696296,2.833333,-4.155555,-3.451852,1.848148,5.237037,5.433333,1.840741,-0.3555555,-4.603704,-5.674074,-2.844445,1.488889,3.885185,1.181482,3.207407,-2.125926,-5.322222,-0.2925926,-3.559259,-3.966667,1.014815,-1.755556,1.1,2.025926,-0.4592592,0.0777778,-0.2851851,2.192593,-2.425926,-5.107408,2.348148,4.733333,-2.17037,-2.885185,-2.77037,-11.3037,-11.78148,-4.35926,-4.651852,-3.307407,-0.8703704,-2.607408,-2.148148,-5.407407,-9.518518,-6.311111,-0.05185191,-0.5555556,-0.2740741,2.940741,0.2592593,-2.133333,-0.4037037,-2.766667,0.925926,-1.337037,4.525926,-1.651852,0.6444442,2.870371,1.162963,-1.133333,17,28,37,0
