Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
-21.60741,-19,-31.24074,-31.74075,-27.71111,-23.81111,-29.05926,-24.89259,-29.81111,-34.6,-37.6037,-32.51482,-26.87407,-25.06667,-25.86666,-24.18518,-24.91482,-31.78889,-24.23333,-21.25926,-18.21852,-23.12963,-13.46667,-15.45926,-17.0963,-16.74074,-8.862963,-7.070371,9.711112,-8.900001,-14.82222,-22.8,-14.95556,-6.148148,-9.566668,-18.0963,-22.42963,-34.71111,-26.65185,-24.57037,-16.26666,0.811111,-1.407408,-5.922222,-21.78148,-24.86667,-38.57778,-33.12962,-19.44074,-13.82222,-4.511111,0.277778,2.362963,-4.037037,-1.362963,-10.52593,-9.470371,4.9,4.748147,5.685186,4.866666,7.581482,1.185185,7.74074,1,36,13,0
-3.574074,-2.992592,-3.148148,-2.455555,-3.377778,-2.751852,-12.53704,-2.725926,-12.03704,-12.09259,-11.39259,-10.42963,-5.666666,-3.777778,-7.277778,-4.496296,-2.414814,-8.67037,-6.240741,-1.511111,5.266667,-0.2148149,7.533334,-2.607408,4.977778,6.225925,7.985186,-2.277778,7.662961,3.133333,-0.555556,-8.048149,3.159259,3.303704,9.981481,3.8,2.625926,-2.244445,3.862962,1.611111,1.129629,9.029629,3.588889,0.9592596,0.3000001,-1.57037,-10.81852,-13.40741,-1.488889,6.659259,8.540741,-0.3111112,0.9814816,2.044445,1.088889,-1.088889,1.377778,4.370371,5.062963,4.466667,3.281482,6.081481,5.274073,8.703704,2,38,13,0
-10.72963,-12.52592,-7.37037,-0.9370372,-2.307408,-8.825926,-18.03333,-13.27037,-11.49259,-9.603703,-1.911112,-6.655555,-6.103704,-7.248151,-16.02592,-16.45185,-7.103703,-13.25185,-11.30741,-14.8963,1.485185,-13.73704,-9.977777,-9.992593,-9.088889,-13.48889,-7.218518,-9.674074,-12.62963,-17.92592,-14.05556,-9.696297,-4.144444,-10.64444,-10.58519,-1.548148,-4.518519,-0.6814815,5.5,-0.5888889,-9.62963,-5.311111,-1.874074,-1.507407,2.414815,1.392593,3.692593,-5.01852,-0.8333338,-1.662963,6.625926,-6.637037,-10.82222,-8.755554,-5.207407,-4.237037,-8.437037,-4.407407,-4.362963,-5.481482,-4.918518,-7.237036,-12.05556,-6.714814,3,32,13,0
-18.41482,-10.47407,-23.94074,-26.75556,-21.55556,-17.76667,-14.38148,-8.1,-16.90371,-25.21111,-28.9037,-29.6037,-15.76296,-4.340741,-8.025927,-8.437037,0.4000001,-19.48518,-24.80741,-16.61111,-6.322222,-8.281481,0.1555554,-2.244444,2.329629,-6.548148,1.807408,-6.270371,-4.914815,-9.962962,-17.77037,-24.14074,-13.87037,-11.87778,-7.877778,-12.7037,-18.78148,-23.61481,-17.75926,-16.55185,-10.07778,0.6111109,-5.462963,-11.0037,-16.67408,-21.16296,-29.98888,-32,-24.8963,-6.592591,-4.27037,-3.581481,-2.833333,-10.22593,-13.17778,-15.78148,-18.08889,-1.574074,-1.644445,-1.477778,-1.662963,6.492593,-3.229629,0.4962963,4,40,13,0
-18.05185,-19.94815,-18.17407,-19.80371,-14.74074,-8.233333,-15.98148,-12.27778,-15.8963,-18.85556,-22.14444,-20.23333,-14.30741,-13.58148,-10.95926,-9.062963,-5.762963,-14.80741,-16.98148,-10.88148,-0.8481481,-2.959259,0.5888889,-4.266666,2.081481,-0.9148151,3.92963,-7.914815,4.559259,-7.155556,-12.58889,-16.36667,-16.18148,-19.53333,-22.87407,-18.11481,-18.82963,-19.25185,-13.48889,-22.96296,-23.84815,-15.7,-13.77407,-20.67778,-21.67778,-23.70741,-25.01111,-24.68148,-21.88148,-23,-9.329631,-12.23704,-4.04074,-10.03704,10.02222,-15.87778,-9.674074,-8.192593,-7.933334,-8.003704,-8.248149,-5.925926,-7.62963,-2.055556,5,39,13,0
-24.72222,-22.21111,-26.75926,-24.00741,-19.3037,-7.718519,-20.08518,-9.91111,-14.27037,-16.88519,-17.35556,-15.05926,-12.57037,-7.933332,-8.914815,-8.144444,-6.722222,-15.0963,-11.88148,-11.07037,-2.614815,-5.392592,2.766667,1.177778,3.866667,-0.9851853,0.0777778,-1.492592,2.388888,-2.688889,-11.44815,-15.91482,-18.54074,-11.70741,-15.45556,-19.98518,-24.5,-22.45926,-17.25555,-19.68518,-18.71111,-13.34444,-12.95185,-11.52222,-17.16296,-19.65926,-15.18889,-14.32222,-11.54445,-13.25556,-10.5,-12.84815,-12.06296,-12.05926,-16.85926,-9.48889,-8.233334,-10.51481,-9.651851,-9.729629,-9.985185,-8.970371,-9.04074,-0.3925928,6,35,13,0
-28.07037,-22.89259,-19.60741,-17.63704,-11.53333,8.381481,-14.44444,0.3888891,-8.392592,-9.003704,-13.43704,-8.107408,-4.718519,1.222222,-6.933332,-0.5074076,9.722222,-4.474074,-5.555556,2.014815,9.066668,5.770371,11.1037,2.329629,10.34444,10.14444,16.71852,-3.237037,9.759259,2.596296,0.2814814,-6.403704,-25.34074,-27.37778,-18.61111,-23.35185,-26.16667,-22.47037,-20.23704,-20.84815,-19.32963,-15.6037,-14.54815,-11.98889,-11.21852,-16.7,-15.18148,-11.10741,-5.585185,-6.333334,-4.859259,-13.62963,-5.388889,-0.7185181,-17.47778,-0.5037037,3.903704,2.514815,2.566667,2.37037,2.711111,3.748147,2.448148,6.951852,7,34,13,0
-7.925927,-7.48148,-1.496296,5.881482,7.377778,14.05185,-1.155556,6.707407,10.13334,9.225926,8.122222,13.34074,17.14815,16.07778,7.033333,9.522223,19.52593,14.66296,13.24074,18.94074,29.35925,18.42593,19.78148,11.09259,20.49259,22.78518,18.28889,3.029629,15.21852,20.44815,17.44444,14.64074,-6.400001,-3.807408,-1.3,0.03333342,-5.725925,3.233334,7.018518,2.566667,2.151852,-0.1851853,1.403704,5.433333,3.166667,5.97037,7.877777,10.1,6.818518,5.162963,11.24074,3.944445,10.31852,8.559258,-2.8,11.27778,15.88518,12.28519,12.12963,12.2037,11.46296,13.77778,15.28148,13.27778,8,37,13,0
2.196296,10.11111,5.451852,8.025926,8.099999,15.1963,7.007407,8.796296,8.922222,8.251851,10.22593,4.688889,7.174074,9.285185,5.085185,4.477778,6.996295,1.607407,0.2740739,-1.385185,0.6148149,6.762963,8.514814,11.27407,11.95185,3.662963,2.407407,-2.533333,-1.618518,-4.118518,-3.077778,-1.644444,-2.444444,1.97037,8.87037,8.137037,3.233333,8.21111,11.02593,8.844444,9.337037,3.066667,-2.196296,-1.511111,4.425926,6.211111,9.714814,3.018518,3.603704,-0.8555556,2.085186,-5.803704,-8.118519,-3.151852,-10.56296,2.007407,-2.433333,-3.77037,-3.8,-4.177778,-3.859259,-4.125926,-5.455555,-5.822222,9,26,13,0
1.962963,-1.633333,-0.6148152,-4.54074,-4.370369,-9.37037,3.874074,7.466667,1.025926,-5.596296,-9.207408,-13.9037,-7.525927,-3.400001,5.585186,7.403704,-2.959259,-7.440741,-13.60741,-10.03704,-6.614816,3.648148,8.433333,18.18148,12.02963,2.296296,2.296296,-2.088889,-2.188889,-2.737037,-9.985185,-16.07778,0.7000005,3.162963,0.2703704,3.285185,-2.062963,-4.985185,-0.1296299,-0.3037035,0.888889,9.796297,8.585185,4.833333,-2.133333,-9.451852,-11.18889,-16.18889,-12.02963,-4.803704,6.211111,8.24074,7.144443,3.77037,1.403704,-12.15185,-5.114815,-1.259259,-1.97037,-1.259259,-1.225926,-1.866667,-2.207408,-5.177777,10,28,13,0
