Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
12.95926,19.83334,8.599999,8.599999,7.803703,8.518518,12.81852,15.3037,5.340741,1.677778,3.533334,2.907408,1.851852,1.711111,11.31852,-0.614815,0.6925925,2.040741,-0.5444446,-0.4259261,-6.181222e-08,-0.07037016,-3.974074,-6.744444,4.685185,-2.792593,-5.422223,4.125926,-4.299999,-5.581482,-1.525926,-1.051852,16.51852,23.06667,10.73334,14.95926,21.12592,12.73704,16.12963,8.729629,8.129631,36.73703,18.20741,16.37037,14.02222,2.474074,6.3,17.55185,2.314815,5.703704,9.307407,5.025926,7.107407,5.359259,-20.30741,4.811111,0.3370371,-0.140741,-0.07407414,-0.4259259,-2.351851,3.248148,-0.7222224,-4.307407,1,24,31,0
12.21111,13.8037,2.711111,-1.859259,1.725926,5.418519,9.944445,-2.655556,0.7074075,-0.3407407,2.259259,0.007407471,1.366666,-0.2185185,7.529629,-0.877778,0.3777778,5.881482,3.592593,2.562963,-0.4629629,-0.6370372,7.640741,-4.422222,4.081481,8.659259,-2.574074,2.981481,2.462963,-0.1259259,3.174074,-6.059259,8.437037,9.477778,13.53704,7.1,-4.622222,2.937037,1.348148,-4.096297,3.02963,9.496297,0.5407409,3.425926,1.622222,-6.866668,-0.9111112,10.45926,-3.940741,-0.4666665,1.177778,7.096297,7.748148,1.714815,-7.985185,-1.7,6.403704,10.65185,2.666667,-1.418519,8.644444,1.781481,6.440741,5.792593,2,28,31,0
6.914814,14.17407,5.740741,2.37037,4.162963,3.337038,4.47037,8.648149,13.18148,7.462964,2.277778,8.781481,11.98519,8.481482,12.5963,9.992593,9.914815,13.67037,9.074074,9.42963,10.18148,8.970371,11.17037,13.17407,8.237037,7.596296,4.877778,11.85556,8.6,7.433333,11.91852,5.988889,2.859259,1.596296,14.50741,1.311111,2.562963,4.666667,2.711111,4.977777,2.711112,35.15186,5.114815,8.633333,5.162961,1.17037,3.011111,15.75556,6.751853,6.177778,6.092593,1.781482,4.011111,2.025926,4.281482,7.344443,9.662963,6.996296,4.722221,7.966667,2.796296,8.822222,8.014814,12.74445,3,26,31,0
-6.174075,5.337038,-2.718518,-2.292593,-3.648148,-5.448148,2.840741,-8.681481,6.951852,-3.359259,3.396296,5.155556,0.9296297,-3.822222,1.422222,-5.811111,2.12963,2.388889,8.614815,3.2,3.807408,-5.785185,-4.292593,-0.5777778,2.255555,-7.385185,-1.47037,0.4925926,1.274074,2.140741,8.725925,9.437036,-14.54815,-10.84074,-1.325926,-9.296297,0.2222224,-2.222222,3.396296,4.077778,-5.777778,-12.45926,1.244444,5.488889,2.151851,7.562963,6.081482,16.5,6.233334,3.22963,-2.1,0.9296296,-0.9925926,5.366666,-5.907407,5.066666,10.37037,0.5296294,2.092592,-1.718519,-4.544445,4.307407,2.82963,-1.588889,4,27,31,0
2.585185,-3.277778,-5.285186,-2.514815,6.648148,5.011111,8.107408,10.64444,4.181482,-2.207407,1.718519,-3.603703,-4.674074,1.262963,4.492593,-5.785185,2.059259,-7.792592,-1.481481,0.4888889,-6.814815,-10.55926,-10.18889,1.948148,-5.525926,-13.0963,-4.555555,-3.45926,-4.388889,-5.8,-3.592592,-2.581482,3.322222,8.514815,12.58519,2.322222,3.6,3.348148,0.5962963,0.03703706,14.92222,11.84074,1.092593,4.829629,5.67037,3.766667,6.314815,8.607408,-5.388889,-2.418519,2.748148,2.281482,4.777778,3.633333,-5.896296,-5.633332,1.085185,2.196296,-1.57037,-13.4,-3.37037,-7.874074,4.740741,-5.396296,5,23,31,0
6.137037,2.518519,7.314816,5.177778,9.892592,10.11481,2.518518,-3.025926,9.196297,11.35185,6.477777,3.029629,9.251853,4.377778,3.262964,7.385185,6.103703,9.340742,1.985185,0.4222223,7.507408,4.777777,4.366667,2.248148,6.340741,2.574074,4.018519,-0.1555555,-4.337037,1.874074,3.377777,-2.177778,5.196296,2.84074,-3.255555,4.433333,0.9296296,1.8,1.137037,16.08889,-4.159259,2.125926,1.32963,5.240741,2.622222,-3.248148,0.9481484,8.466666,2.307407,0.2629631,10.63704,0.3333333,-6.074074,-6.985185,2.225926,1.074074,0.1740739,1.092593,-0.3555553,-2.47037,-2.84074,5.377778,-1.096296,4.548148,6,22,31,0
3.907408,-10.35556,-1.574074,4.885185,-3.122222,-11.51852,-9.707406,-1.7,-3.285185,0.6518518,3.3,3.325926,8.370369,1.881482,7.655556,5.985186,0.9296296,11.96667,9.881482,5.962963,9.85926,5.125926,6.35926,10.77037,12.6963,16.74815,9.848148,11.01111,4.662963,7.77037,12.7,12.95185,5.514814,4.403704,-1.003704,0.02962962,-1.388889,5.466667,16.82593,3.240741,2.3,5.640741,5.103704,6.737037,6.948148,9.122223,6.944445,14.15555,14.25556,11.61111,14.31852,9.722221,7.455555,9.685185,11.97407,11.34074,10.7037,12.93333,8.937037,16.88148,5.737037,15.3,5.4,11.02963,7,21,31,0
8.174074,10.55556,11.84444,4.074074,6.085186,8.307408,1.418519,10.6,-0.3370371,2.633333,2.014815,-0.3481482,3.974074,2.985185,3.222223,20.6037,7.9,2.214814,7.196295,2.633333,3.82963,0.9222222,-4.081481,5.974073,6.985186,0.7814814,5.925926,0.9740741,11.07407,2.696297,3.229629,5.918519,6.025926,12.92593,10.35185,-2.9,9.037038,11.15556,7.685184,-10.27407,-0.1666672,-0.9888889,1.522222,0.4814825,3.507408,9.362963,7.559259,8.325925,3.874074,6.051852,-8.733333,-0.07407422,1.218519,3.514815,2.759259,3.259259,4.966667,-2.455556,0.8037036,1.551852,-0.1185187,2.759259,1.151852,-4.033334,8,97,31,0
2.303704,2.822222,5.866667,0.4888892,6.533334,2.766667,5.611111,0.7592594,6.225927,1.877778,-1.081481,-6.214815,1.662963,3.677778,2.640741,8.396296,3.122222,3.503704,0.2111111,-8.355556,-0.1222218,3.351852,8.655555,-3.974074,-3.22963,3.892593,-1.955555,0.1296295,-1.785185,0.9259263,0.1814813,-1.392593,1.577778,4.777778,-0.7555557,1.274074,1.144444,-1.725926,-2.144445,1.322222,5.32963,4.037037,-0.7592593,-0.4740741,-1.933334,0.7777779,-1.244444,-7.092592,-1.2,1.444444,0.06666665,-0.7592593,-1.922222,1.548148,-1.222222,-1.84074,1.240741,-1.329629,-1.144444,-2.544444,-2.803704,0.04444451,2.911111,-0.2518515,9,99,31,0
10.25556,19.02593,17.76666,14.48889,9.57037,6.977777,3.562963,6.703704,10.82593,14.6963,16.96667,13.77037,16.85555,10.56667,11.71111,11.07037,9.977777,17.33333,15.34074,14.28518,16.75555,15.37407,17.31481,11.71482,11.71481,14.42963,14.54815,11.15926,5.788889,18.90741,10.34445,16.16296,12.85556,13.19259,13.11481,11.12222,8.237037,13.08519,19.0037,21.11482,17.35185,10.08889,21.76667,11.23333,12.6963,18.47408,13.32963,14.00371,18.00741,14.3963,17.34074,13.28148,7.12963,11.57407,21.2037,22.44815,16.46667,14.94074,14.2963,9.651852,4.633334,11.96296,14.21111,16.72963,10,98,31,0
