Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
2.059259,11.51111,-1.02963,-2.307408,-6.544445,0.09259256,-0.2148148,-0.2481483,-3.488889,-3.877778,-6.048148,-11.31852,-10.44444,-4.692593,-1.896297,-2.581481,-0.9037036,-6.948148,-7.074074,-3.537037,0.3703704,-1.437037,-12.30741,-5.255556,2.607407,-2.244444,5.344444,3.1,-6.044445,-3.833334,7.581482,-6.429629,-1.333333,7.8,1.225926,-0.662963,-1.781482,-2.185185,-1.811111,-0.5555556,2.351852,0.4814813,-4.166667,-2.577778,-2.862963,-8.474074,-6.551852,-6.351851,-4.925925,1.955556,1.707407,-1.511111,-19.17407,-2.022222,-3.377778,-6.407407,-4.955556,1.82963,-7.703704,0.774074,5.270371,4.57037,3.292593,0.8851853,1,8,15,0
-12.52592,-20.27407,-12.3,-15.50741,-15.75926,-16.12963,-5.222222,-13.02963,-13.22593,-9.937038,-16.63333,-7.677778,-9.785186,-14.44074,-8.555555,-3.444444,-2.07037,-4.611111,-6.607407,-3.525926,1.066667,-2.037037,2.637037,-1.062963,0.7444443,-3.033334,4.818519,2.662963,-4.544445,-4.685184,3.096296,-7.185186,-8.981483,-7.711112,-13.25185,-12.35556,-12.11111,-10.38889,-9.74815,-6.400001,-12.9037,-14.77037,-8.892593,-10.88519,-9.544442,-4.866666,-11.11481,-3.959261,-5.033333,-2.874075,-9.392592,-8.422221,-2.218518,-4.95926,-1.029629,-4.396296,-1.803704,-5.451852,-0.777778,1.674074,3.033333,-0.5037038,-0.9592586,2.785185,2,6,15,0
-7.685184,-23.25926,-12.30741,-10.7,-5.062963,-13.46296,-3.351851,-7.285185,-11.34815,-7.474075,-13.17407,-13.75556,-11.26296,-12.84445,0.6444442,-0.5925925,-10.13704,-8.888889,-13.97407,-2.977778,0.1000001,-2.762963,-1.329629,-6.648148,2.962963,-0.2666668,5.862964,0.4,1.888889,1.696296,-4.259259,-9.125925,-4.170371,-15.41111,11.02593,-4.655555,-4.829629,-5.885184,-7.081481,-4.688889,-8.348148,-4.62963,-2.559259,-1.688889,-7.177778,-3.414815,-11.1963,-13.18148,-9.485185,-3.981482,-8.540742,4.796296,4.185185,-1.414815,-3.392593,-4.018518,-1.692593,2.225926,1.581481,2.074074,-6.492592,3.096297,7.129629,8.444445,3,10,15,0
18.45926,-2.703703,3.151852,3.092592,6.014816,6.092593,-4.788889,-10.14815,-0.437037,8.892591,-2.281482,-1.837037,3.729629,-10.6963,-8.462962,-3.72963,5.503704,2.581482,4.600001,7.837036,6.537036,1.603703,11.75185,-6.8,14.21852,10.48148,2.374074,0.6259259,4.559259,5.285185,6.948148,-3.107407,3.655556,2.551852,-0.937037,4.7,3.659259,0.9592591,3.492592,6.533335,4.496296,2.274074,-3.662963,3.751852,2.12963,0.1481481,0.1814817,-7.862964,-4.766666,3.051852,-4.188889,1.437037,-5.896297,0.5481485,5.981482,0.4185182,8.503704,13.14815,4.237037,7.385184,1.585185,9.659259,13.30741,2.011111,4,4,15,0
-7.111111,-5.996296,-10.34074,-1.655555,-6.066667,-4.937037,-0.7962965,-3.148148,-0.01481455,-2.751852,-2.322222,2.292593,5.803704,6.692593,8.748147,5.211111,-10.73333,8.42963,4.862963,1.125926,-0.866667,-0.09629635,5.77037,-4.751852,2.140741,-0.5407409,-3.825926,5.537037,-0.7111108,4.907407,5.296297,1.418518,-5.340741,-9.718518,-8.444444,-5.659258,-8.251851,0.1111108,-7.04815,-11.02222,-11.53333,-2.255556,-3.370371,-5.996296,-2.262963,-6.066666,-4,-1.581481,-0.3074071,-4.025925,10.38519,-9.355556,-1.174074,11.11852,-0.6074073,-0.5925925,6.240741,-0.159259,0.3111111,3.885185,-1.07037,8.04074,-5.140741,3.92963,5,1,15,0
-23.91852,-12.07778,-23.84444,-21.95926,-21.93704,-21.41111,-11.09629,-8.474074,-8.725926,-24.61852,-21.48519,-17.83704,-13.01482,-9.355556,-10.22963,-5.462963,-16.1963,-14.68519,-12.4037,-9.522223,-9.662963,-3.914815,-2.777778,1.414815,-2.57037,-5.914815,-8.977777,-0.748148,8.322223,-4.392592,-8.774074,-16.54444,-14.25926,-15.21111,0.3185185,-19.31852,-18.63333,-16.95185,-20.15185,-20.67407,-13.99629,-12.18148,-14.03704,-18.38148,-17.09259,-20.12222,-20.81111,-15.31111,-18.17777,-21.74074,-3.411111,-14.97037,-20.06667,-14.03704,-21.77777,-16.26667,-12.9037,-14.18519,-7.7,-13.52593,-8.744444,-4.622222,-10.48889,-7.514815,6,5,15,0
1.244444,-4.118519,-4.462963,-6.703704,-2.277778,-4.966667,4.477777,-1.618518,-8.496296,-7.72963,-11.46296,-11.0963,-4.766666,0.1629629,-0.0851851,-5.033334,-4.507408,-5.666667,-9.318519,0.1481481,2.588889,-3.940741,-2.255555,4.385185,1.4,-2.403703,-2.548148,-0.9666667,1.322222,0.1296297,-13.62222,-12.21111,0.1444444,1.814815,-29.46296,-5.17037,-3.540741,-12.52222,-8.259259,-8.466666,-8.67037,-4.959259,-3.988889,-5.844444,-11.01481,-9.685184,-14.41852,-12.71852,-11.55185,-7.903704,-5.044445,-4.448149,-28.13703,-2.922222,-7.470369,-9.648149,-10.35926,-10.11852,-4.440742,-4.6,-10.37778,-5.596295,-3.474074,-5.877778,7,9,15,0
-27.17408,-18.01852,-22.75926,-24.28148,-17.57408,-11.99259,-15.43704,-16.81481,-18.57037,-11.03333,-16.98889,-17.84815,-15.30741,-20.02593,-17.08518,-16.94074,0.5777776,-13.23704,-3.933333,-8.937037,-10.82222,-0.05925876,-9.618519,-5.118518,-14.47407,-9.748147,-6.151852,-11.34074,-3.633333,-0.8740743,-12.15555,-12.62593,-24.57777,-25.04074,-22.82222,-24.68148,-26.38889,-21.09259,-22.35926,-20.05926,-24.24074,-15.24815,-7.148148,-11.1037,-13.11111,-13.2037,-17.28148,-15.82593,-13.28518,-10.17037,-14.83333,-14.62963,-8.762963,-6.603704,-0.5888887,-7.47037,-10.60741,-6.307407,3.785185,-4.540741,-10.97407,-3.459259,-10.44074,-6.437037,8,50,15,0
-12.14815,-23.04074,-13.83333,-12.65185,-14.03333,-4.72963,-17.75185,-10.52222,-11.95556,-0.4037037,-14.54074,-18.18518,-8.818519,-12.87037,-2.496296,-7.318519,-13.45556,-6.688889,-1.974074,-15.24444,-8.68148,-14.73333,0.3407409,-0.7444443,-8.022222,-14.57037,-9.314816,-5.303704,-7.074075,-8.296297,-13.71481,-15.27037,-18.37407,-13.87408,-7.211111,-9.885185,-12.70741,-11.33333,-14.65555,-12.41111,-9.718519,-23.41111,-13.05555,-12.31852,-15.35926,-14.89629,-16.01852,-19.28148,-18.03703,-17.21482,-14.01482,-12.32963,-4.137037,-7.925926,-8.081481,-17.14444,-6.633333,-13.34074,-16.55556,-10.47778,-2.955556,-13.21852,-14.63333,-15.2963,9,44,15,0
1.559259,7.685186,2.103703,1.766667,-0.5629631,4.674075,-0.6037037,4.285184,5.64074,-3.407408,0.3296297,-1.333334,1.574074,4.696297,-3.903703,-6.566668,-3.166667,4.092592,3.007408,-0.3851853,-7.951852,4.081481,-7,-6.922222,-8.259259,1.307407,-5.255556,1.214815,-2.025926,-0.4740743,-0.5296301,4.051853,-5.014814,5.851852,1.988889,2.611111,-3.307407,-4.166667,-5.833333,-5.151852,4.555555,-1.807408,-3.774074,0.325926,-2.211111,-9.092592,-3.72963,-1.914815,2.918518,3.425925,3.922222,6.492594,-2.874074,9.366667,-7.192593,-2.411111,1.462963,3.633333,-11.34815,-6.625926,0.7296299,-2.214815,-1.5,-2.511111,10,47,15,0
