Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
-13.82593,-13.88889,-7.192592,-6.537037,-6.3,11.07407,18.73704,-1.162963,-5.907407,0.774074,-2.666666,6.629629,0.2333332,5.896296,-13.35556,-4.248148,1.944444,7.781482,9.548148,4.45926,10.65926,8.203703,8.814815,6.718518,10.72222,3.770371,0.02592581,7.218519,3.12963,3.911111,10.13704,4.429629,-10.18518,-2.848149,-2.488889,-6.962963,-8.377777,-5.925927,-4.088889,-1.696296,1.733333,1.52963,-0.9185185,-11.77778,4.137037,1.022222,-3.277778,0.7037038,1.229629,0.6666667,-3.285185,8.133333,0.811111,8.322222,10.17407,4.748148,6.848148,9.655556,12.25556,-1.555556,5.5,2.014815,8.637037,-4.566667,1,84,33,0
5.355556,-10.31111,4.948149,9.137035,7.125926,12.57407,1.611111,11,8.022222,2.77037,8.87037,2.381481,2.937037,4.344443,1.403704,1.648148,8.451852,4.540741,7.096296,12.05556,4.759259,11.56667,10.86666,10.21111,9.07037,-1.17037,-2.459259,13.54074,9.218519,2.074074,3.722223,9.111113,10.26296,-21.85185,4.151852,8.081482,6.762964,6.225926,11.24815,8.844444,9.933333,-2.644444,12.7,3.674074,2.140741,4.788888,9.925927,5.396296,5.570371,6.707408,6.344446,2.162963,11.5,8.011111,4.733334,9.877777,6.662964,4.948149,13.35556,5.425926,3.648148,2.981482,2.066667,10.82963,2,85,33,0
-179.6259,-103.2,-188.8259,-195.1703,-195.737,-196.4926,-203.7185,-183.0593,-199.2222,-193.8555,-201.9037,-201.3593,-192.6148,-193.5519,-175.5926,-184.6074,-188.6222,-193.0185,-203.3148,-193.2556,-194.763,-183.7704,-192.3593,-182.0222,-186.063,-179.7407,-182.4,-192.5482,-189.1556,-185.1778,-188.0037,-199.0555,-167.2593,-195.8037,-182.9074,-190.0852,-195.1741,-200.7667,-200.4037,-200.5741,-200.5704,-202.9778,-183.6482,-183.6333,-200.9889,-197.0444,-200.763,-198.9185,-202.7852,-196.8778,-194.0074,-199.2741,-181.4,-193.1111,-201.9444,-201.537,-194.4111,-193.7408,-190.0778,-174.8333,-194.5555,-183.0741,-195.1333,-166.8333,3,90,33,1
5.348148,20.21482,2.681482,3.911111,10.94074,3.8,-7.962963,11.23704,10.25926,16.16296,13.1037,12.20741,16.3,16.12963,21.81852,25.75185,7.544444,12.32592,16.45185,14.1037,6.303704,9.774074,13.91111,9.325926,5.559259,5.981482,11.76297,16.14444,14.23333,11.23704,10.86666,9.074074,-5.188888,4.907407,6.37037,7.418519,-0.08148169,4.114815,6.87037,11.51111,5.525927,7.751853,9.62963,5.748148,15.94074,7.122222,3.581482,6.422223,9.977778,7.892593,5.881481,15.8,17.23703,15.07037,17.17407,14.64815,10.18519,14.04074,9.285184,20.95556,17.17778,13.48889,14.67778,14.6963,4,82,33,0
10.24815,-10.9963,5.966667,9.155555,5.292593,9.574074,12.92593,13.83704,7.340741,6.181482,7.596296,7.351851,12.55926,10.05926,12.24815,16.21852,15.36667,7.340741,8.885185,11.05926,10.05926,15.6,19.9037,29.37407,20.21482,17.28519,18.31111,17.64074,14.71852,13.8963,14.67407,10.81111,17.17407,11.84445,19.97407,9.370372,8.781482,6.107407,10.2,11.62593,18.71482,20.78889,22.7,17.71482,13.43334,12.9963,6.3,12.3,13.1963,14.59259,17.15185,20.15185,20.62963,17.41852,10.76296,12.31852,12.40741,14.0963,20.09259,14.55556,19.45185,18.68148,12.91481,14.28889,5,96,33,0
15.73333,-6.311111,24.83333,23.82222,27.32593,28.44074,21.34815,20.45185,25.08519,24.13704,28.70741,33.5,30.14815,24.89259,24.11481,26.32593,27.45555,23.01852,28.64074,13.45926,24.38889,26.18148,20.72222,22.41482,25.06667,40.06667,24.3963,19.31111,27.28148,29.27778,30.80741,23.85926,20.22222,12.86296,23.29259,22.35556,26.05556,27.13704,29.79259,25.63704,21.58148,32.41111,25.2,31.45926,31.56667,33.2963,30.25555,27.01112,26.8,25.55926,22.11111,26.30741,22.38519,26.82593,29.1,23.56666,25.31111,26.46667,27.61852,22.64074,24.38889,27.78518,27.73333,18.65185,6,95,33,0
17.22593,-7.081481,6.907406,10.9037,11.41852,10.89259,24.74815,18.89629,13.14815,10.43334,13.8963,9.57037,12.82963,14.77778,7.618519,9.177776,15.56667,14.83333,8.037037,19.95185,18.2963,14.31111,20.68148,12.01852,14.83704,8.396297,9.062963,6.066668,9.477777,9.018517,4.440741,14.12963,6.374074,-0.4407407,1.033333,9.551851,9.840741,7.837037,9.5,10.52593,7.411111,9.340741,6.785185,6.655555,8.133333,6.944445,8.992594,13.14074,11.01481,10.95555,11.43704,7.066667,11.07037,8.762963,11.08519,13.80741,10.7963,12.07037,12.61481,6.551852,1.751852,3.422222,10.0963,4.303704,7,98,33,0
-2.874074,-27.04445,-15.74815,-9.22963,-16.12593,-11.34074,-23.31111,-16.08148,-15.99629,-17.2,-12.33333,-16.14074,-17.21482,-17.73704,-16.36667,-10.40741,-14.68889,-14.45185,-16.95926,-12.99259,-12.95185,-14.37408,-17.72963,-14.12963,-14.25556,-10.65555,-15.64815,-13.95555,-13.34815,-10.38889,-16.58518,-10.92593,-9.425926,-14.24444,-18.61852,-10.45185,-11.96297,-8.148147,-8.674074,-11.08889,-13.56296,-20,-14.14074,-13.13704,-10.61482,-5.948148,-6.403705,-14.61111,-10.85556,-6.62963,-8.062963,-16.08519,-10.38889,-7.914814,-12.35555,-10.03333,-10.51852,-7.659258,1.825926,-15.77778,-8.211112,-11.28518,-1.018519,-16.68148,8,93,33,0
-224.1259,-91.06297,-209.8518,-208.3185,-207.8741,-202.2889,-193.263,-212.9741,-218.6111,-210.2704,-207.6926,-212.1407,-206.1148,-207.063,-159.6704,-167.537,-194.7222,-205.2259,-205.8593,-203.837,-216.3148,-212.5889,-196.4926,-174.6556,-229.3334,-210.3667,-204.8296,-194.5444,-224.1148,-207.5704,-210.9704,-206.2074,-183.4963,-203.4,-184.2778,-208.9074,-220.237,-215.7555,-211.9296,-213.0259,-207.1445,-219.2778,-209.3778,-186.0963,-214.9852,-210.8407,-212.9815,-211.563,-208.5482,-211.6074,-208.0741,-200.7852,-198.6333,-204.7704,-202.9963,-206.963,-210.9963,-203.7555,-220.5037,-193.3555,-182.8111,-194.9333,-201.1963,-166.2148,9,97,33,1
86.80372,64.6926,77.37778,88.46296,85.40742,95.49261,98.67779,91.2037,92.76666,86.76297,75.95186,78.91852,83.72964,92.37778,94.77408,97.25925,81.4111,81.9111,78.93333,75.78519,78.17037,88.57778,90.44073,89.81483,91.9,77.96296,81.06297,90.87778,85.5,72.77778,68.74815,75.15186,91.53334,81.50371,84.5926,85.44445,85.6852,78.09629,77.14815,79.41483,85.37407,87.8037,70.5963,79.95927,80.35926,78.14815,78.24445,76.22963,76.17407,81.50742,84.8963,82.62593,84.95556,81.12222,73.95184,74.8,74.21481,75.94073,76.72963,83.15186,92.59629,80.50739,75.09259,68.11852,10,94,33,0
