Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,seg,word_no,Subject,badseg
19.47778,-25.10741,9.851851,-7.088889,-4.951852,-17.67037,-26.86666,-29.53333,-12.24815,-10.64445,-2.359259,-14.80741,-10.92963,-10.32222,-18.14074,-20.2963,-9.7,-15.37407,-14.67037,-2.311111,-14.15185,-7.337038,-12.12963,-7.211111,-11.28889,-11.14815,-3.262963,16.02222,3.411111,3.977778,-7.177777,-8.14074,8.207407,-11.7,8.407407,9.877778,7.414815,7.192592,19.04444,-6.296296,-6.481482,-12.98518,-19.5963,-14.16296,8.048148,2.103704,2.359259,-9.65926,-5.362963,-10.11111,-10.8037,-2.103703,-4.8,2.481481,-1.755556,-5.577778,-3.759259,5.781481,-8.037037,-2.125926,9.807407,6.048149,-1.618519,7.148147,1,15,27,0
-5.881482,6.155555,0.7481484,-8.807407,-12.71482,-7.559259,-27.44074,-18.97037,-6.685184,-3.166667,-0.7740741,0.7518519,-1.711111,-12.36667,-14.9963,-13.30741,-8.818519,-5.144445,-0.2703703,10.55185,6.933333,-9.133333,-16.97037,-7.025927,4.277777,-4.12963,13.30371,1.207408,2.977778,5.792593,2.548148,6.17037,32.97778,11.75556,-9.937038,-2.696296,-11.74815,-6.437037,-1.840741,-8.177777,-11.18148,-26.94445,-4.355556,-23.21111,-0.7185186,-13.81111,2.633333,6.966666,3.72963,-3.944445,-3.233334,-17.77778,-11.24815,3.248148,-1.192593,1.418519,5.574075,10.57407,-5.981482,-10.23333,6.974074,0.8666666,-0.2888887,8.281481,2,11,27,0
55.22222,19.31111,30.9,27.97037,112.8852,71.9,60.87407,45.48148,71.2963,36.93333,66.5963,60.23703,63.57778,73.4037,42.46297,31.51851,25.29259,11.67408,36.6037,19.46667,22.61482,51.88149,23.27037,44.6926,10.71111,40.94074,62.26296,84.10741,90.38519,22.05556,31.9,6.029629,-5.948148,-101.8667,53.96666,22.87037,22.4963,89.26297,-2.737038,-45.86296,22.71482,34.68519,40.74074,111.2593,20.45926,58.86666,37.46667,95.58519,53.02222,10.42593,58.74074,65.35556,41.01111,-18.35185,66.88519,59.68518,37.65926,25.01852,63.33703,39.92222,4.622222,76.24815,66.66296,78.85556,3,16,27,0
2.007408,-29.86296,-19.64445,-29.08889,-22.81852,-22.97408,-22.32593,-21.61481,-19.97778,-38.92593,-7.051852,-23.45185,-22.64074,-21.68148,-32.0037,-26.04815,-21.01111,-44.62592,-32.48148,-6.333333,-16.7963,-14.82222,-26.97037,-30.01482,18.35556,-17.42963,-0.5333339,10.95555,-36.18148,-65.16667,-8.87037,-20.57778,3.996295,-24.70741,-49.78889,-14.13704,-17.82222,-21.25926,-5.988889,-36.86296,-12.84074,-16.52593,-19.93333,-11.52222,-23.85926,-25.72593,-19.22593,0.8888888,-22.12222,-1.855556,-16.12222,-31.96296,-35.00741,-3.992593,-15.27407,-10.46667,-17.86666,-17.01111,-16.4037,-3.492593,-45.35556,-30.46297,-11.77037,-26.88148,4,18,27,0
-0.4259259,-6.370371,4.374074,-6.451852,-18.96296,-36.11481,-17.6037,-35.25926,-41.59259,-16.1037,-17.48148,-31.12593,-33.5037,-20.23334,-25.38148,-12.52593,-25.14445,-20.70741,-30.94444,-21.74444,-10.7,-31.46667,-13.93333,-23.39259,-26.65185,-19.26296,-33.41481,-3.422222,-47.6,-23.13704,-23.04445,-26.02222,8.996297,-5.003704,-35.12963,-11.25185,-2.255555,-20.05556,-10.45926,-20.91111,-24.87408,-44.0037,-21.55185,-25.39629,-16.30741,-14.62222,-16.97778,-36.25926,-23.9963,-35.58518,-28.49629,-43.0074,-36.36296,-26.94444,-27.34445,-36.2037,-34.75926,-27.54074,-39.65185,-30.51112,-22.31482,-29.61111,-31.97778,-12.50741,5,20,27,0
-1.625926,10.55185,8.274074,5.437037,-0.551852,-8.644444,10.85185,-15.74074,-5.377778,8.214815,5.607407,2.477778,-3.307407,5.014814,-5.048148,6.796297,0.2740741,5.829629,2.981482,11.9037,-3.866667,-1.781482,-39.48148,-1.97037,-0.3407408,6.12963,-4.874074,-2.788889,10.67407,3.011111,-2.044444,1.977778,-0.8222222,6.600001,-8.111111,1.581481,2.018518,-1.155556,3.125926,-1.103704,-8.537038,-23.82963,-6.066668,-6.262963,-4.507407,-0.06296296,5.659259,1.837037,1.640741,4.692592,-5.525926,-6.666668,-0.7185185,6.070371,-4.422222,-5.848148,4.140741,4.462963,-4.65926,-2.196296,-3.507407,-3.848148,0.4962963,-2.085185,6,17,27,0
-3.374074,-3.259259,3.937037,3.940741,-0.5703702,-3.796297,3.14074,-4.692593,-15.02593,6.722222,0.06296267,3.266667,-0.6259259,1.803704,-7.651851,-5.814814,4.551852,4.144444,8.992593,1.192593,0.2555557,-1.566666,-0.2518518,-5.451852,-3.218518,2.2,9.022223,4.411111,7.466667,0.3481478,-0.1074073,3.762963,-7.970369,-6.488889,-4.32963,0.0296297,7.881482,5.592594,7.7,9.418519,-1.281482,-14.81852,-0.6592594,-7.725925,1.514815,9.359259,7.322223,20.94074,6.803704,10.02222,4.051852,0.9259259,7.662963,17.65185,0.4703703,4.488889,13.50741,2.72963,6.940741,0.840741,4,4.592593,2.392592,2.944444,7,33,27,0
2.57037,17.17037,16.29259,3.862963,8.51111,9.992593,15.25185,16.39259,8.225926,16.57407,10.46296,9.785186,6.622222,8.255555,14.65556,13.08148,9.840741,13.85556,8.822222,9.540741,21.99629,2.718519,13.8,9.207407,12.24444,3.840741,11.92593,4.72963,12.4,6.896297,1.503704,5.725926,-0.137037,-2.385185,9.077778,6.255555,7.214814,12.71481,5.525926,14.9037,7.77037,-5.781481,-3.781482,-11.31852,0.9037036,3.214815,8.366667,15.48148,6.822223,0.1962961,8.137037,3.596297,7.577778,23.27037,2.040741,5.048148,4.477778,19.12593,5.507407,6.222222,9.896296,10.54815,10.45555,6.833333,8,31,27,0
-79.10741,-15.36296,-26.86666,-9.125927,-44.14444,-10.42593,1.655555,14.21481,4.955555,-0.4333334,-9.674073,-0.4703703,-1.248148,-7.192593,9.433332,5.72963,3.992592,-1.666667,-3.766667,-6.9,6.6,1.329629,5.648149,-2.944444,0.4481479,5.837037,-0.2666665,-26.31852,4.355555,1.181482,-5.181482,4.922222,-39.91111,-31.14074,-2.422222,2.562963,-2.240741,8.333332,14.84074,6.737037,0.9925927,10.65185,7.877777,-18.52963,-6.2,8.329631,1.437037,-1.974074,0.9259259,7.981482,-1.914815,-0.7185185,15.95926,3.82963,4.166667,-0.0481481,2.17037,26.08148,7.425926,1.440741,9.344443,2.651852,5.87037,-15.34445,9,39,27,0
23.67037,-6.588888,9.940741,-0.7148148,17.41482,1.333333,4.62963,-5.818519,-0.562963,-1.7,3,-5.903704,-0.6740739,6.511111,-5.437037,5.055556,2.411112,-1.881482,1.02963,10.30741,3.022222,0.8555561,-7.514815,2.022223,3.377778,8.603704,28.72963,27.48148,-5.674073,0.2000002,6.481482,1.877778,4.003703,-14.72593,2.955555,-3.018518,1.022222,-1.144444,7.148149,-2.451852,3.133333,-11.54074,-4.518518,-5.97037,8.944445,-2.42963,-3.874074,-3.477777,-0.8148147,-6.396296,11.9,8.370371,6.966666,7.462963,5.12963,6.303704,0.07407413,17.12222,9.414815,21.45185,17.92592,24.47037,9.755555,-0.7518518,10,35,27,0
-19.9,-16.14815,-26.33704,-23.17777,-27.61481,-16.66667,6.703705,-23.18148,-8.962963,-25.97407,-23.45926,-14.94074,-11.14444,-19.65185,-21.9,-16.94815,-12.12963,-4.474074,-9.996296,-4.618518,-9.637037,-11.26296,-8.677777,-14.88148,-14.44445,-8.159259,-3.329629,-4.722222,-10.33704,-8.762963,-6.459259,-4.448148,-2.818518,4.411111,-20.6,-14.2963,-21.04815,-18.5963,-19.81852,-13.96667,-8.059259,-10.26667,-10.94444,-35.16297,-11.70741,-30.21111,-16.92222,-8.285186,-9.692593,-10.66296,-13.67407,-15.10741,-14.61852,-9.866668,-11.49259,-6.925927,-3.948148,16.83704,-6.855555,-7.951852,-14.04444,-6.225926,-5.477777,-5.059259,11,14,27,0
-4.059259,-1.640741,-5.6,-2.955555,-10.94815,-19.32592,-10.05556,4.2,-10.76666,-5.659259,-7.351851,-11.86666,-9.548146,-8.774074,-2.696296,-6.866667,-5.848148,-6.796297,-15.32963,-3.07037,-7.651852,-7.292592,2.751852,-2.074074,5.233334,-2.311111,-8.840739,-8.470369,-1.681481,-11.91482,-7.433334,-6.085185,6.466666,-17.6963,-9.385185,-14.13333,-5.444445,-10.69259,-20.9963,-7.007407,0.05555573,15.67778,-3.881481,-15.83704,-12.01481,-23.5963,-9.299999,-6.759257,-9.007407,-7.792593,-14.82222,-6.085186,-7.544446,-4.366668,-1.633333,-7.662963,-4.12963,-5.033333,-6.622222,-4.474074,0.05925928,-5.296296,-9.225925,-5.022222,12,20,27,0
-0.7518521,-0.6037038,0.6777778,-5.9,2.944444,-8.474073,-1.448148,-5.292592,0.4814814,-0.7296296,-0.896296,-5.633334,-6.948148,-8.033334,-0.8888889,-6.177777,0.2037038,-0.1407408,-1.388889,1.807407,-2.392593,-2.303704,1.462963,3.440741,-0.1851852,-0.2444445,-5.762963,9.081481,1.54074,6.725925,-4.877778,-2.292593,6.933333,-8.237037,-3.807408,-8.192592,-5.52963,-8.570371,-2.166667,-7.637037,-11.97407,-15.58889,-3.159259,-11.61482,-0.8037037,-21.24074,-3.803704,-0.05555552,-7.081481,-3.244444,-2,-8.174074,-6.099999,4.155556,-4.096297,-7.218519,0.9407408,-8.003703,-3.385185,-0.1333333,-1.140741,5.696296,-2.355555,7.503705,13,17,27,0
8.351852,14.72963,18.6,13.0963,18.57778,14.15555,8.162964,4.45926,7.618519,18.72963,12.12593,9.648149,11.61482,10.35185,5.2,8.855555,11.4963,10.46296,13.45185,4.225926,5.574075,-2.322222,15.47778,4.081482,-2.681482,6.137037,2.937037,-1.185185,14.49259,21.28148,8.618519,10.34444,4.192593,10.4037,21.16667,15.81852,14.72593,12.45185,16.69259,15.98889,13.31111,4.844445,9.329629,24.32963,20.85185,21.85185,16.29259,13.54074,14.98889,17.55926,15.19259,6.485185,3.848148,29.18889,12.60741,8.674074,11.16667,7.12963,12.85556,6.614815,8.329629,4.277778,12.07778,14.45555,14,11,27,0
3.096296,-5.17037,-7.729629,-12.36296,-6.940741,-7.68889,-3.414815,-10.62593,-12.3963,1.785185,-8.177778,-7.744445,-7.522223,-5.111111,-10.40741,-5.596296,-4.155556,-8.933332,-7.937037,-5.081481,-1.02963,-4.05926,3.885185,3.074074,1.392593,-0.5407407,5.455556,13.26667,1.022222,6.892592,-4.859259,-8.544444,-8.377778,0.9074073,3.655556,-5.214815,-13.5,-9.214814,-2.748148,-1.162963,-5.633334,-4.522221,-2.988889,9.888889,0.2148147,1.462963,-6.074075,-5.855556,-3.211111,-2,0.537037,-1.644445,3.707408,9.174074,0.03333325,-2.540741,-3.088889,-1.777778,5.025926,9.3,12.84815,10.69259,6.392593,13.6,15,18,27,0
-46.7963,-9.985185,-20.03333,-6.45926,-33.92593,2.333333,15.55185,5.625926,-8.462962,-12.33333,-17.53704,3.177778,-1.918518,-6.07037,2.722222,-1.618518,-3.166667,-5.596296,3.211111,-6.137036,-0.7777776,0.7370371,-4.114814,-1.462963,-5.388889,1.785185,-4.222222,-34.9,-4.459259,0.125926,-5.103703,-0.2666668,4.788889,19.74444,6.966667,0.225926,-6.288889,-5.581482,-9.166666,20.4,-5.688889,19.18518,10.97407,-8.048149,-2.948148,12.5,-1.755556,-0.9592592,6.537036,-2.588889,0.1296296,3.12963,5.522222,-11.75556,0.688889,2.888889,-1.048148,13.19629,4.292593,5.540741,7.337037,-3.759259,5.066667,3.588889,16,72,27,0
24.14074,-4.6,7.107408,-3.637038,9.255556,-1.840741,6.174074,-4.240741,-5.814814,-6.885186,-3.092592,-6.625926,-3.685186,-0.8518519,-5.192593,-7.903704,-1.22963,-6.285184,-9.462963,-7.444444,-2.403704,-0.3962965,-5.262963,1.025926,-2.966667,7.418519,-6.662963,23.0963,-3.459259,-5.637038,-7.496295,-11.77407,-9.507408,-5.977777,-6.074075,-7.259259,2.818519,-9.611111,-3.496296,-15.54815,-18,-9.733333,-6.392593,-1.729629,-10.58519,-13.87037,-14.42963,-24.48518,-11.71852,-10.52593,-6.566666,-1.162963,-4.637037,-18.96296,-7.470371,-8.351851,-15.21852,-61.56297,-4.714814,0.5,3.137037,3.374074,7.451852,3.42963,17,79,27,0
